date,total_usd_millions,cumulative_usd_millions
2024-09-16,-9.400000000000002,-590.8
2024-09-17,-15.099999999999998,-605.9
2024-09-18,-9.799999999999999,-615.6999999999999
2024-09-19,5.2,-610.4999999999999
2024-09-20,2.9,-607.5999999999999
2024-09-21,0.0,-607.5999999999999
2024-09-22,0.0,-607.5999999999999
2024-09-23,-79.3,-686.8999999999999
2024-09-24,62.49999999999999,-624.3999999999999
2024-09-25,43.2,-581.1999999999998
2024-09-26,-0.09999999999999432,-581.2999999999998
2024-09-27,58.69999999999999,-522.5999999999999
2024-09-28,0.0,-522.5999999999999
2024-09-29,0.0,-522.5999999999999
2024-09-30,-0.8000000000000007,-523.3999999999999
2024-10-01,-48.6,-571.9999999999999
2024-10-02,14.4,-557.5999999999999
2024-10-03,-3.1999999999999993,-560.8
2024-10-04,7.4,-553.4
2024-10-05,0.0,-553.4
2024-10-06,0.0,-553.4
2024-10-07,0.0,-553.4
2024-10-08,-8.1,-561.5
2024-10-09,0.0,-561.5
2024-10-10,3.1000000000000005,-558.4
2024-10-11,-0.09999999999999964,-558.5
2024-10-12,0.0,-558.5
2024-10-13,0.0,-558.5
2024-10-14,17.0,-541.5
2024-10-15,-12.700000000000001,-554.2
2024-10-16,24.2,-530.0
2024-10-17,48.4,-481.6
2024-10-18,1.9,-479.70000000000005
2024-10-19,0.0,-479.70000000000005
2024-10-20,0.0,-479.70000000000005
2024-10-21,-20.8,-500.50000000000006
2024-10-22,11.9,-488.6000000000001
2024-10-23,1.200000000000001,-487.4000000000001
2024-10-24,2.3,-485.1000000000001
2024-10-25,-19.2,-504.30000000000007
2024-10-26,0.0,-504.30000000000007
2024-10-27,0.0,-504.30000000000007
2024-10-28,-1.1000000000000005,-505.4000000000001
2024-10-29,7.6,-497.80000000000007
2024-10-30,4.4,-493.4000000000001
2024-10-31,13.0,-480.4000000000001
2024-11-01,-10.9,-491.30000000000007
2024-11-02,0.0,-491.30000000000007
2024-11-03,0.0,-491.30000000000007
2024-11-04,-63.2,-554.5000000000001
2024-11-05,0.0,-554.5000000000001
2024-11-06,52.3,-502.2000000000001
2024-11-07,79.69999999999999,-422.5000000000001
2024-11-08,85.89999999999999,-336.60000000000014
2024-11-09,0.0,-336.60000000000014
2024-11-10,0.0,-336.60000000000014
2024-11-11,295.5,-41.100000000000136
2024-11-12,135.9,94.79999999999987
2024-11-13,146.9,241.69999999999987
2024-11-14,-3.200000000000003,238.4999999999999
2024-11-15,-59.8,178.69999999999987
2024-11-16,0.0,178.69999999999987
2024-11-17,0.0,178.69999999999987
2024-11-18,-39.1,139.59999999999988
2024-11-19,-81.30000000000001,58.29999999999987
2024-11-20,-30.3,27.99999999999987
2024-11-21,-9.000000000000002,18.999999999999865
2024-11-22,91.30000000000001,110.29999999999987
2024-11-23,0.0,110.29999999999987
2024-11-24,0.0,110.29999999999987
2024-11-25,2.9000000000000004,113.19999999999987
2024-11-26,40.599999999999994,153.79999999999987
2024-11-27,90.1,243.89999999999986
2024-11-28,0.0,243.89999999999986
2024-11-29,332.9,576.7999999999998
2024-11-30,0.0,576.7999999999998
2024-12-01,0.0,576.7999999999998
2024-12-02,24.199999999999996,600.9999999999999
2024-12-03,132.6,733.5999999999999
2024-12-04,167.70000000000005,901.3
2024-12-05,428.49999999999994,1329.8
2024-12-06,83.8,1413.6
2024-12-07,0.0,1413.6
2024-12-08,0.0,1413.6
2024-12-09,149.8,1563.3999999999999
2024-12-10,305.7,1869.1
2024-12-11,102.00000000000001,1971.1
2024-12-12,273.7,2244.7999999999997
2024-12-13,23.599999999999998,2268.3999999999996
2024-12-14,0.0,2268.3999999999996
2024-12-15,0.0,2268.3999999999996
2024-12-16,51.1,2319.4999999999995
2024-12-17,144.70000000000002,2464.1999999999994
