date,Blackrock ETHA 0.25%,Fidelity FETH 0.25%,Bitwise ETHW 0.20%,21 Shares TETH 0.21%,VanEck ETHV 0.20%,Invesco QETH 0.25%,Franklin EZET 0.19%,Grayscale ETHE 2.50%,Grayscale ETH 0.15%,Total Unnamed: 10_level_1 Unnamed: 10_level_2,Total
2024-10-26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-28,2.3,5.0,0.0,0.0,0.0,0.0,0.0,-8.4,0.0,-1.1,-2.2000000000000006
2024-10-29,13.6,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,0.0,7.6,15.2
2024-10-30,0.0,5.3,-3.6,2.7,0.0,0.0,0.0,0.0,0.0,4.4,8.8
2024-10-31,49.6,0.0,0.0,0.0,0.0,0.0,0.0,-36.6,0.0,13.0,26.0
2024-11-01,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-11.4,0.0,-10.9,-21.8
2024-11-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-04,11.0,-31.5,0.0,0.0,0.0,0.0,0.0,-10.8,-31.9,-63.2,-126.4
2024-11-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,25.4,52.3,104.6
2024-11-07,23.7,28.9,6.6,0.0,12.7,2.3,0.0,0.0,5.5,79.7,159.39999999999998
2024-11-08,59.8,18.4,3.4,0.0,4.3,0.0,0.0,0.0,0.0,85.9,171.8
2024-11-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-11,101.1,115.5,15.6,0.0,0.0,0.0,0.0,0.0,63.3,295.5,591.0
2024-11-12,131.4,0.0,17.0,2.0,6.0,0.0,0.0,-33.2,12.7,135.9,271.8
2024-11-13,35.6,101.7,13.0,0.0,0.0,0.0,0.0,-5.6,2.2,146.9,293.8
2024-11-14,18.9,0.0,0.0,0.0,-1.1,0.9,0.0,-21.9,0.0,-3.2,-6.400000000000003
2024-11-15,0.0,-18.4,0.0,0.0,-1.1,0.0,0.0,-40.3,0.0,-59.8,-119.6
2024-11-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-18,-23.9,3.2,0.0,0.0,0.0,0.0,0.0,-13.3,-5.1,-39.1,-78.2
2024-11-19,-14.2,-46.7,0.0,0.0,0.0,0.0,0.0,-20.4,0.0,-81.3,-162.60000000000002
2024-11-20,16.7,-30.7,0.0,0.0,0.0,0.0,0.0,-16.3,0.0,-30.3,-60.6
2024-11-21,0.0,16.8,2.9,0.0,2.5,0.0,0.0,-27.1,-4.1,-9.0,-18.0
2024-11-22,99.7,5.8,5.0,0.0,0.0,0.0,0.0,-18.6,-0.6,91.3,182.60000000000002
2024-11-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-25,0.0,4.4,8.7,-1.2,2.6,0.0,0.0,-7.6,-4.0,2.9,5.800000000000001
2024-11-26,50.1,-1.7,0.0,-2.8,0.0,-1.2,0.0,-20.1,16.3,40.6,81.19999999999999
2024-11-27,0.0,38.0,1.6,0.0,13.2,0.0,0.0,0.0,37.3,90.1,180.2
2024-11-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-29,250.4,79.1,0.0,0.0,0.0,0.0,0.0,0.0,3.4,332.9,665.8
2024-11-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-02,55.9,19.9,0.0,0.0,0.0,-7.2,0.0,-44.4,0.0,24.2,48.39999999999999
2024-12-03,65.3,73.7,0.0,0.0,0.0,0.0,0.0,-6.4,0.0,132.6,265.2
2024-12-04,124.4,40.7,0.0,0.0,0.0,0.0,0.0,-6.2,8.8,167.7,335.40000000000003
2024-12-05,292.7,113.6,6.6,0.0,0.0,0.0,0.0,-15.1,30.7,428.5,857.0
2024-12-06,34.6,47.9,13.4,-6.9,1.5,0.0,0.0,-29.6,22.9,83.8,167.6
2024-12-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-09,155.4,30.1,-13.0,-4.1,0.0,0.0,0.0,-27.4,8.8,149.8,299.6
2024-12-10,81.7,202.2,0.0,0.0,0.0,0.0,0.0,-4.0,25.8,305.7,611.4
2024-12-11,74.2,0.0,8.2,0.0,5.6,0.0,2.9,-2.3,13.4,102.0,204.0
2024-12-12,202.3,19.4,0.0,1.6,0.0,0.0,0.0,-22.8,73.2,273.7,547.4
2024-12-13,9.5,6.9,0.0,0.0,0.0,0.0,0.0,7.2,0.0,23.6,47.2
2024-12-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-12-16,30.7,4.1,8.7,0.0,0.0,0.0,0.0,0.0,7.6,51.1,102.2
2024-12-17,134.8,3.9,0.0,0.0,0.0,0.0,1.5,0.0,4.5,144.7,289.4
2024-12-18,81.9,0.0,-14.6,0.0,0.0,0.0,0.0,-49.2,-15.6,2.5,5.000000000000009
2024-12-19,0.0,5.1,-6.8,0.0,4.9,-2.4,0.0,-58.1,-3.2,-60.5,-121.0
2024-12-20,-103.7,13.0,0.0,0.0,0.0,0.0,0.0,7.5,8.1,-75.1,-150.2
