date,total_usd_millions,cumulative_usd_millions
2024-04-10,123.7,12496.599999999997
2024-04-11,91.3,12587.899999999996
2024-04-12,-55.1,12532.799999999996
2024-04-13,0.0,12532.799999999996
2024-04-14,0.0,12532.799999999996
2024-04-15,-36.7,12496.099999999995
2024-04-16,-58.0,12438.099999999995
2024-04-17,-165.0,12273.099999999995
2024-04-18,-4.3,12268.799999999996
2024-04-19,59.7,12328.499999999996
2024-04-20,0.0,12328.499999999996
2024-04-21,0.0,12328.499999999996
2024-04-22,62.2,12390.699999999997
2024-04-23,31.6,12422.299999999997
2024-04-24,-120.6,12301.699999999997
2024-04-25,-217.6,12084.099999999997
2024-04-26,-83.6,12000.499999999996
2024-04-27,0.0,12000.499999999996
2024-04-28,0.0,12000.499999999996
2024-04-29,-51.6,11948.899999999996
2024-04-30,-161.6,11787.299999999996
2024-05-01,-563.7,11223.599999999995
2024-05-02,-34.4,11189.199999999995
2024-05-03,378.3,11567.499999999995
2024-05-04,0.0,11567.499999999995
2024-05-05,0.0,11567.499999999995
2024-05-06,217.0,11784.499999999995
2024-05-07,-15.7,11768.799999999994
2024-05-08,11.5,11780.299999999994
2024-05-09,-11.3,11768.999999999995
2024-05-10,-84.7,11684.299999999994
2024-05-11,0.0,11684.299999999994
2024-05-12,0.0,11684.299999999994
2024-05-13,66.0,11750.299999999994
2024-05-14,100.5,11850.799999999994
2024-05-15,303.0,12153.799999999994
2024-05-16,257.3,12411.099999999993
2024-05-17,221.5,12632.599999999993
2024-05-18,0.0,12632.599999999993
2024-05-19,0.0,12632.599999999993
2024-05-20,237.2,12869.799999999994
2024-05-21,305.7,13175.499999999995
2024-05-22,154.0,13329.499999999995
2024-05-23,107.9,13437.399999999994
2024-05-24,251.9,13689.299999999994
2024-05-25,0.0,13689.299999999994
2024-05-26,0.0,13689.299999999994
2024-05-27,0.0,13689.299999999994
2024-05-28,45.0,13734.299999999994
2024-05-29,28.3,13762.599999999993
2024-05-30,48.8,13811.399999999992
2024-05-31,48.8,13860.199999999992
2024-06-01,0.0,13860.199999999992
2024-06-02,0.0,13860.199999999992
2024-06-03,105.1,13965.299999999992
2024-06-04,886.6,14851.899999999992
2024-06-05,488.1,15339.999999999993
2024-06-06,217.7,15557.699999999993
2024-06-07,131.0,15688.699999999993
2024-06-08,0.0,15688.699999999993
2024-06-09,0.0,15688.699999999993
2024-06-10,-64.9,15623.799999999994
2024-06-11,-200.4,15423.399999999994
2024-06-12,100.8,15524.199999999993
2024-06-13,-226.2,15297.999999999993
2024-06-14,-189.9,15108.099999999993
2024-06-15,0.0,15108.099999999993
2024-06-16,0.0,15108.099999999993
2024-06-17,-145.9,14962.199999999993
2024-06-18,-152.4,14809.799999999994
2024-06-19,0.0,14809.799999999994
2024-06-20,-139.9,14669.899999999994
2024-06-21,-105.9,14563.999999999995
2024-06-22,0.0,14563.999999999995
2024-06-23,0.0,14563.999999999995
2024-06-24,-174.5,14389.499999999995
2024-06-25,31.0,14420.499999999995
2024-06-26,21.4,14441.899999999994
