date,total_usd_millions,cumulative_usd_millions
2025-06-28,0.0,8393.999999999996
2025-06-29,0.0,8393.999999999996
2025-06-30,63.599999999999994,8457.599999999997
2025-07-01,81.4,8538.999999999996
2025-07-02,-3.7999999999999967,8535.199999999997
2025-07-03,297.0,8832.199999999997
2025-07-04,0.0,8832.199999999997
2025-07-05,0.0,8832.199999999997
2025-07-06,0.0,8832.199999999997
2025-07-07,124.2,8956.399999999998
2025-07-08,93.4,9049.799999999997
2025-07-09,422.6,9472.399999999998
2025-07-10,766.2,10238.599999999999
2025-07-11,409.79999999999995,10648.399999999998
2025-07-12,0.0,10648.399999999998
2025-07-13,0.0,10648.399999999998
2025-07-14,518.0,11166.399999999998
2025-07-15,384.6,11550.999999999998
2025-07-16,1453.2000000000003,13004.199999999999
2025-07-17,1204.0,14208.199999999999
2025-07-18,805.0,15013.199999999999
2025-07-19,0.0,15013.199999999999
2025-07-20,0.0,15013.199999999999
2025-07-21,593.0,15606.199999999999
2025-07-22,1067.6,16673.8
2025-07-23,664.4000000000001,17338.2
2025-07-24,462.4,17800.600000000002
2025-07-25,905.6,18706.2
2025-07-26,0.0,18706.2
2025-07-27,0.0,18706.2
2025-07-28,130.39999999999998,18836.600000000002
2025-07-29,437.2,19273.800000000003
2025-07-30,11.6,19285.4
2025-07-31,34.0,19319.4
2025-08-01,-304.6,19014.800000000003
2025-08-02,0.0,19014.800000000003
2025-08-03,0.0,19014.800000000003
2025-08-04,-930.2,18084.600000000002
2025-08-05,146.59999999999997,18231.2
2025-08-06,70.19999999999999,18301.4
2025-08-07,444.6,18746.0
2025-08-08,922.0,19668.0
2025-08-09,0.0,19668.0
2025-08-10,0.0,19668.0
2025-08-11,2037.6,21705.6
2025-08-12,1047.8,22753.399999999998
2025-08-13,1458.1999999999998,24211.6
2025-08-14,1279.2,25490.8
2025-08-15,-118.59999999999997,25372.2
2025-08-16,0.0,25372.2
2025-08-17,0.0,25372.2
2025-08-18,-393.20000000000005,24979.0
2025-08-19,-859.2,24119.8
2025-08-20,-480.4,23639.399999999998
2025-08-21,575.2,24214.6
2025-08-22,682.4,24897.0
2025-08-23,0.0,24897.0
2025-08-24,0.0,24897.0
2025-08-25,887.8,25784.8
2025-08-26,910.0,26694.8
2025-08-27,619.0,27313.8
2025-08-28,78.19999999999999,27392.0
2025-08-29,-329.20000000000005,27062.8
